Volcano Number,Volcano Name,Eruption Number,Eruption Category,Area of Activity,VEI,VEI Modifier,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
282110,Asosan,20753,Confirmed Eruption,Naka-dake,1,,,2011,,5,,15,,Historical Observations,,2011,,6,,9,,32.884,131.104
284170,Pagan,20803,Confirmed Eruption,North Pagan,2,,,2011,,4,?,23,,Historical Observations,,2011,,9,?,1,,18.13,145.8
352080,Tungurahua,22214,Confirmed Eruption,,2,,,2011,,4,,20,,Historical Observations,,2011,,5,,26,,-1.467,-78.442
331021,Axial Seamount,20921,Confirmed Eruption,E caldera rim to 10 km S,0,,,2011,,4,,6,,Historical Observations,,2011,,4,,12,,45.95,-130
300260,Klyuchevskoy,20783,Confirmed Eruption,,1,,,2011,,3,,30,,Historical Observations,,2011,,7,,3,,56.056,160.642
252140,Rabaul,20810,Confirmed Eruption,Tavurvur,2,,,2011,,3,,29,,Historical Observations,,2011,,8,,12,,-4.271,152.203
267020,Karangetang,20775,Confirmed Eruption,,2,,,2011,,3,,11,,Historical Observations,,2011,,8,,13,,2.781,125.407
344040,Telica,20823,Confirmed Eruption,,2,,,2011,,3,,7,,Historical Observations,,2011,,6,,14,,12.606,-86.84
266100,Lokon-Empung,20792,Confirmed Eruption,Tompaluan,1,,,2011,,2,,22,,Historical Observations,,2011,,2,,22,,1.358,124.792
357040,Planchon-Peteroa,20808,Confirmed Eruption,Peteroa,3,,,2011,,2,,17,,Historical Observations,,2011,,6,,26,1,-35.223,-70.568
282090,Kirishimayama,20782,Confirmed Eruption,Shinmoe-dake,2,,,2011,,1,,19,,Historical Observations,,2011,,9,,7,,31.934,130.862
345070,Turrialba,20829,Confirmed Eruption,,1,,,2011,,1,,14,,Historical Observations,,2011,,1,,14,,10.025,-83.767
221041,Dallol,20939,Confirmed Eruption,Dallol crater,0,,,2011,,1,,4,3,Historical Observations,,2011,,1,,4,3,14.242,40.3
263310,Tengger Caldera,16064,Confirmed Eruption,Bromo,3,?,,2010,,11,,26,,Historical Observations,,2012,,6,,13,,-7.942,112.95
352080,Tungurahua,11645,Confirmed Eruption,,3,?,,2010,,11,,22,,Historical Observations,,2011,,1,,2,,-1.467,-78.442
390090,Saunders,20901,Confirmed Eruption,Main crater,1,,,2010,,11,?,17,,Historical Observations,,2010,,11,?,17,,-57.8,-26.483
300230,Kizimen,19264,Confirmed Eruption,,3,,,2010,,11,?,11,,Historical Observations,,2013,,9,?,13,,55.131,160.32
273010,Bulusan,16772,Confirmed Eruption,Summit crater,2,,,2010,,11,,6,,Historical Observations,,2011,,5,,13,,12.77,124.05
263250,Merapi,15925,Confirmed Eruption,,4,,,2010,,10,,26,,Historical Observations,,2012,,7,,15,,-7.542,110.442
262000,Krakatau,15634,Confirmed Eruption,Anak Krakatau,2,,,2010,,10,?,25,,Historical Observations,,2011,,3,,9,8,-6.102,105.423
233020,"Fournaise, Piton de la",14392,Confirmed Eruption,2.5 km SE and 1 km NW of Dolomieu,1,?,,2010,,10,,14,,Historical Observations,,2010,,12,,10,,-21.244,55.708
260010,Barren Island,15388,Confirmed Eruption,,2,,,2010,,9,,17,,Historical Observations,,2011,,6,,22,,12.278,93.858
357040,Planchon-Peteroa,11947,Confirmed Eruption,Peteroa,2,,,2010,,9,,6,,Historical Observations,,2010,,10,,13,,-35.223,-70.568
261080,Sinabung,15404,Confirmed Eruption,,2,,,2010,,8,,27,,Historical Observations,,2010,,9,?,18,,3.17,98.392
211060,Etna,13854,Confirmed Eruption,"Bocca Nuova, NE and SE Craters",1,,,2010,,8,,25,,Historical Observations,,2013,,4,,27,,37.748,14.999
351080,Galeras,11381,Confirmed Eruption,,2,,,2010,,8,,25,,Historical Observations,,2010,,8,,25,,1.22,-77.37
251020,Manam,14935,Confirmed Eruption,"South Crater, Main Crater",2,,,2010,,8,?,10,,Historical Observations,,2013,,12,>,15,,-4.08,145.037
267020,Karangetang,16544,Confirmed Eruption,,3,?,,2010,,8,,6,,Historical Observations,,2010,,12,?,16,15,2.781,125.407
252140,Rabaul,15101,Confirmed Eruption,Tavurvur,1,?,,2010,,7,,23,,Historical Observations,,2010,,7,,25,,-4.271,152.203
290380,Ebeko,18879,Confirmed Eruption,,1,,,2010,,7,,2,,Historical Observations,,2010,,7,,9,7,50.686,156.014
290270,Ekarma,18833,Confirmed Eruption,Upper SW flank,2,,,2010,,6,,30,,Historical Observations,,2010,,8,?,10,,48.958,153.93
344020,San Cristobal,10897,Confirmed Eruption,,2,,,2010,,6,,9,,Historical Observations,,2011,,1,,13,,12.702,-87.004
300070,Gorely,19026,Confirmed Eruption,,1,,,2010,,6,,6,,Historical Observations,,2010,,6,?,22,,52.559,158.03
311240,Cleveland,19819,Confirmed Eruption,,2,,,2010,,5,,30,,Historical Observations,,2010,,6,?,2,,52.825,-169.944
284193,South Sarigan Seamount,18529,Confirmed Eruption,,3,?,,2010,,5,,27,,Historical Observations,,2010,,5,,29,,16.58,145.78
252120,Ulawun,15077,Confirmed Eruption,,2,?,,2010,,5,,26,4,Historical Observations,,2011,,5,,27,,-5.05,151.33
300250,Bezymianny,19388,Confirmed Eruption,,3,?,,2010,,5,?,21,,Historical Observations,>,2017,,8,,4,,55.972,160.595
284170,Pagan,18524,Confirmed Eruption,North Pagan,1,,,2010,,5,,3,,Historical Observations,,2010,,8,,11,,18.13,145.8
284040,Miyakejima,18282,Confirmed Eruption,,1,,,2010,,4,,11,,Historical Observations,,2010,,7,,21,,34.094,139.526
211060,Etna,13853,Confirmed Eruption,SE Crater,2,,,2010,,4,,8,,Historical Observations,,2010,,4,,8,,37.748,14.999
282090,Kirishimayama,17165,Confirmed Eruption,Shinmoe-dake,1,,,2010,,3,,30,,Historical Observations,,2010,,7,,10,,31.934,130.862
372020,Eyjafjallajokull,12563,Confirmed Eruption,ENE flank (Fimmvörduháls) and summit,4,,,2010,,3,,20,,Historical Observations,,2010,,6,,23,,63.633,-19.633
284130,Fukutoku-Oka-no-Ba,18469,Confirmed Eruption,,1,,,2010,,2,,3,,Historical Observations,,2010,,4,?,8,,24.285,141.481
345070,Turrialba,11247,Confirmed Eruption,SW crater,2,,,2010,,1,,5,,Historical Observations,,2010,,3,?,7,,10.025,-83.767
223020,Nyamuragira,14085,Confirmed Eruption,Summit caldera and SSE flank,1,?,,2010,,1,,2,,Historical Observations,,2010,,1,,29,,-1.408,29.2
352080,Tungurahua,11644,Confirmed Eruption,,3,,,2010,,1,,1,,Historical Observations,,2010,,7,,29,,-1.467,-78.442
300250,Bezymianny,19387,Confirmed Eruption,,3,?,,2009,,12,,17,,Historical Observations,,2010,,2,?,16,,55.972,160.595
344120,Concepcion,11080,Confirmed Eruption,,1,,,2009,,12,,11,,Historical Observations,,2011,,3,,12,,11.538,-85.622
357120,Villarrica,12184,Confirmed Eruption,,1,,,2009,,11,,22,,Historical Observations,,2012,,4,,20,,-39.42,-71.93
345040,Poas,11193,Confirmed Eruption,,1,,,2009,,11,,16,15,Historical Observations,,2014,,10,,13,,10.2,-84.233
282090,Kirishimayama,17164,Confirmed Eruption,Shinmoe-dake,1,,,2009,,11,,15,,Historical Observations,,2009,,11,,15,,31.934,130.862
233020,"Fournaise, Piton de la",14391,Confirmed Eruption,Dolomieu crater and east flank,1,?,,2009,,11,,5,,Historical Observations,,2010,,1,,12,,-21.244,55.708
311240,Cleveland,19828,Confirmed Eruption,,2,,,2009,,10,,2,,Historical Observations,,2009,,12,?,12,,52.825,-169.944
257020,Gaua,15231,Confirmed Eruption,Mt. Garat,2,,,2009,,9,,27,,Historical Observations,,2010,,6,,19,,-14.27,167.5
263200,Dieng Volcanic Complex,15793,Confirmed Eruption,Sileri crater,1,,,2009,,9,,27,,Historical Observations,,2009,,9,,27,,-7.2,109.879
252010,Langila,15003,Confirmed Eruption,Crater 2,2,,,2009,,9,<,16,15,Historical Observations,,2010,,2,?,16,15,-5.525,148.42
273030,Mayon,16819,Confirmed Eruption,,2,,,2009,,9,,15,,Historical Observations,,2010,,1,?,1,,13.257,123.685
344020,San Cristobal,10896,Confirmed Eruption,,2,?,,2009,,9,,6,,Historical Observations,,2009,,12,?,26,,12.702,-87.004
300260,Klyuchevskoy,19485,Confirmed Eruption,,2,,,2009,,8,?,1,,Historical Observations,,2010,,12,?,20,,56.056,160.642
221115,Manda Hararo,13944,Confirmed Eruption,,2,?,,2009,,6,,28,,Historical Observations,,2009,,7,?,1,,12.17,40.82
311240,Cleveland,19827,Confirmed Eruption,,2,,,2009,,6,,25,,Historical Observations,,2009,,6,,25,,52.825,-169.944
290240,Sarychev Peak,18819,Confirmed Eruption,,4,,,2009,,6,,11,,Historical Observations,,2009,,7,?,16,15,48.092,153.2
242050,Monowai,22197,Confirmed Eruption,,0,,,2009,,5,,4,3,Hydrophonic,,2009,,12,,16,4,-25.887,-177.188
264030,Rinjani,16227,Confirmed Eruption,NE flank of Gunung Barujari,2,,,2009,,5,,2,,Historical Observations,,2010,,5,,23,,-8.42,116.47
263180,Slamet,15765,Confirmed Eruption,,1,,,2009,,4,,21,,Historical Observations,,2009,,6,?,22,,-7.242,109.208
353010,Fernandina,11677,Confirmed Eruption,SW flank (400 m),2,,,2009,,4,,10,,Historical Observations,,2009,,4,?,28,,-0.37,-91.55
284040,Miyakejima,18281,Confirmed Eruption,,1,,,2009,,4,,1,,Historical Observations,,2009,,4,,1,,34.094,139.526
261170,Kerinci,15533,Confirmed Eruption,,1,,,2009,,4,?,1,,Historical Observations,,2009,,6,?,19,,-1.697,101.264
262000,Krakatau,15633,Confirmed Eruption,Anak Krakatau,2,,,2009,,3,?,25,,Historical Observations,,2009,,9,?,16,15,-6.102,105.423
243040,Hunga Tonga-Hunga Ha'apai,14733,Confirmed Eruption,Hunga Ha'apai,2,,,2009,,3,?,17,,Historical Observations,,2009,,3,,22,1,-20.536,-175.382
313030,Redoubt,20391,Confirmed Eruption,South of 1990 dome,3,,,2009,,3,,15,,Historical Observations,,2009,,7,,1,30,60.485,-152.742
290380,Ebeko,18878,Confirmed Eruption,,1,,,2009,,2,,11,,Historical Observations,,2009,,7,?,13,,50.686,156.014
357120,Villarrica,12183,Confirmed Eruption,,1,,,2009,,1,,29,,Historical Observations,,2009,,3,?,24,,-39.42,-71.93
283110,Asamayama,17812,Confirmed Eruption,,2,,,2009,,1,,21,,Historical Observations,,2009,,5,,2,,36.406,138.523
263200,Dieng Volcanic Complex,15792,Confirmed Eruption,Sibanteng crater,1,,,2009,,1,,15,,Historical Observations,,2009,,1,,15,,-7.2,109.879
345040,Poas,11192,Confirmed Eruption,,1,,,2009,,1,,12,,Historical Observations,,2009,,3,?,21,,10.2,-84.233
311240,Cleveland,19826,Confirmed Eruption,,2,,,2009,,1,,2,,Historical Observations,,2009,,1,,21,,52.825,-169.944
261230,Dempo,15575,Confirmed Eruption,,1,?,,2009,,1,,1,,Historical Observations,,2009,,1,,1,,-4.03,103.13
300090,Koryaksky,19045,Confirmed Eruption,Upper NW flank (3000 m),2,,,2008,,12,?,23,,Historical Observations,,2009,,8,,27,,53.321,158.712
267020,Karangetang,16543,Confirmed Eruption,,2,,,2008,,11,?,29,,Historical Observations,,2010,,3,?,24,,2.781,125.407
344020,San Cristobal,10895,Confirmed Eruption,,1,,,2008,,11,,21,,Historical Observations,,2008,,11,,21,,12.702,-87.004
285070,Akan,18707,Confirmed Eruption,Me-Akan (Ponmachineshiri),1,,,2008,,11,,18,,Historical Observations,,2008,,11,,28,,43.384,144.013
243120,Tafu-Maka,14799,Confirmed Eruption,Maka,0,,,2008,,11,?,16,15,Historical Observations,,2008,,11,?,16,15,-15.37,-174.23
243130,West Mata,14800,Confirmed Eruption,Prometheus and Hades vents,0,,,2008,,11,<,16,15,Historical Observations,,2009,,5,>,16,15,-15.1,-173.75
221060,Alu-Dalafilla,13927,Confirmed Eruption,W and NW of Dalaffilla,3,?,,2008,,11,,3,,Historical Observations,,2008,,12,?,16,15,13.793,40.553
351050,"Huila, Nevado del",11314,Confirmed Eruption,Upper SW side of Pico Central,3,?,,2008,,10,?,26,,Historical Observations,,2012,,1,?,14,,2.93,-76.03
357120,Villarrica,12182,Confirmed Eruption,,1,,,2008,,10,,26,,Historical Observations,,,,,,,,-39.42,-71.93
390090,Saunders,20902,Confirmed Eruption,,0,,,2008,,10,?,25,,Historical Observations,,2008,,10,?,25,,-57.8,-26.483
351080,Galeras,11380,Confirmed Eruption,,3,,,2008,,10,?,21,,Historical Observations,,2010,,1,?,2,,1.22,-77.37
300260,Klyuchevskoy,19484,Confirmed Eruption,,1,,,2008,,10,,8,,Historical Observations,,2009,,4,?,16,,56.056,160.642
233020,"Fournaise, Piton de la",14390,Confirmed Eruption,Dolomieu crater,1,,,2008,,9,,21,,Historical Observations,,2009,,2,,4,,-21.244,55.708
256010,Tinakula,15210,Confirmed Eruption,,1,?,,2008,,9,?,19,,Historical Observations,,2012,,10,,23,,-10.38,165.8
282090,Kirishimayama,17163,Confirmed Eruption,Shinmoe-dake crater and W flank,1,,,2008,,8,,22,,Historical Observations,,2008,,8,,22,,31.934,130.862
273030,Mayon,16818,Confirmed Eruption,,1,,,2008,,8,,10,,Historical Observations,,2008,,8,,10,,13.257,123.685
283110,Asamayama,17811,Confirmed Eruption,,1,,,2008,,8,,10,,Historical Observations,,2008,,8,,14,,36.406,138.523
311130,Kasatochi,19745,Confirmed Eruption,,4,,,2008,,8,,7,,Historical Observations,,2008,,8,?,9,,52.177,-175.508
344120,Concepcion,11077,Confirmed Eruption,,1,,,2008,,7,,30,,Historical Observations,,2008,,7,,30,,11.538,-85.622
290360,Chikurachki,18860,Confirmed Eruption,,2,,,2008,,7,,29,,Historical Observations,,2008,,8,?,8,,50.324,155.461
352010,Reventador,11449,Confirmed Eruption,,2,,,2008,,7,,27,,Historical Observations,>,2017,,8,,4,,-0.077,-77.656
252070,Krummel-Garbuna-Welcker,15009,Confirmed Eruption,,2,,,2008,,7,,13,,Historical Observations,,2008,,10,,4,,-5.416,150.027
311290,Okmok,19852,Confirmed Eruption,NE caldera floor,4,?,,2008,,7,,12,,Historical Observations,,2008,,8,,19,,53.43,-168.13
300250,Bezymianny,19386,Confirmed Eruption,,3,?,,2008,,7,,11,,Historical Observations,,2008,,8,?,23,,55.972,160.595
344040,Telica,10943,Confirmed Eruption,,1,,,2008,,7,,5,4,Historical Observations,,2008,,7,,5,4,12.606,-86.84
241130,Rumble III,14676,Confirmed Eruption,,0,,,2008,1,7,,2,182,Historical Observations,,,,,,,,-35.745,178.478
344020,San Cristobal,10894,Confirmed Eruption,,1,,,2008,,6,,22,,Historical Observations,,2008,,8,,5,4,12.702,-87.004
263340,Raung,16166,Confirmed Eruption,,2,,,2008,,6,,12,,Historical Observations,,2008,,6,?,17,,-8.119,114.056
266030,Soputan,16439,Confirmed Eruption,,3,?,,2008,,6,,6,,Historical Observations,,2008,,11,?,2,,1.112,124.737
353060,"Azul, Cerro",11720,Confirmed Eruption,Summit and SE flank,1,?,,2008,,5,,29,,Historical Observations,,2008,,6,,17,,-0.92,-91.408
257040,Ambrym,15297,Confirmed Eruption,Benbow and Marum,2,,,2008,,5,,23,,Historical Observations,>,2017,,8,,24,,-16.25,168.12
260010,Barren Island,15387,Confirmed Eruption,,2,,,2008,,5,,13,,Historical Observations,,2010,,4,?,19,,12.278,93.858
211060,Etna,13852,Confirmed Eruption,East base of NE Crater (3000-2650 m),1,,,2008,,5,,13,,Historical Observations,,2009,,7,,4,,37.748,14.999
284040,Miyakejima,18280,Confirmed Eruption,,1,,,2008,,5,,8,,Historical Observations,,2008,,5,,8,,34.094,139.526
358041,Chaiten,12271,Confirmed Eruption,,4,,,2008,,5,,2,,Historical Observations,,2011,,5,,31,3,-42.833,-72.646
344100,Masaya,11042,Confirmed Eruption,Santiago,1,,,2008,,4,,29,,Historical Observations,,2008,,12,?,17,,11.984,-86.161
264160,Egon,16278,Confirmed Eruption,,2,,,2008,,4,,15,,Historical Observations,,2008,,4,?,28,,-8.676,122.455
268030,Ibu,16582,Confirmed Eruption,,1,,,2008,,4,,5,,Historical Observations,>,2017,,8,,22,,1.488,127.63
261170,Kerinci,15532,Confirmed Eruption,,1,,,2008,,3,,24,,Historical Observations,,,,,,,,-1.697,101.264
252070,Krummel-Garbuna-Welcker,15008,Confirmed Eruption,,1,,,2008,,3,,11,,Historical Observations,,2008,,3,,13,,-5.416,150.027
312070,Veniaminof,20178,Confirmed Eruption,Western intracaldera cone,1,,,2008,,2,,22,,Historical Observations,,2008,,3,,1,,56.17,-159.38
282110,Asosan,17351,Confirmed Eruption,Naka-dake,1,,,2008,,2,,17,,Historical Observations,,2008,,2,,17,,32.884,131.104
242050,Monowai,14723,Confirmed Eruption,,0,,,2008,,2,?,8,,Hydrophonic,,2008,,2,?,8,,-25.887,-177.188
345040,Poas,11191,Confirmed Eruption,,1,,,2008,,1,,13,,Historical Observations,,2008,,1,,13,,10.2,-84.233
390090,Saunders,20899,Confirmed Eruption,Old Crater,0,,,2008,,1,?,8,,Historical Observations,,2008,,1,?,8,,-57.8,-26.483
284040,Miyakejima,18279,Confirmed Eruption,,1,,,2008,,1,,7,,Historical Observations,,2008,,1,,7,,34.094,139.526
351050,"Huila, Nevado del",11313,Confirmed Eruption,,2,?,,2008,,1,,2,,Historical Observations,,2008,,4,?,16,15,2.93,-76.03
357110,Llaima,12077,Confirmed Eruption,Summit and upper east flank,3,,,2008,,1,,1,,Historical Observations,,2009,,6,,12,4,-38.692,-71.729
261160,Talang,15499,Confirmed Eruption,,2,,,2007,,11,,27,,Historical Observations,,2007,,12,?,16,15,-0.979,100.681
284200,Anatahan,18538,Confirmed Eruption,,2,,,2007,,11,,27,3,Historical Observations,,2008,,8,?,9,,16.35,145.67
344120,Concepcion,11076,Confirmed Eruption,,2,?,,2007,,11,,24,,Historical Observations,,2007,,12,,20,,11.538,-85.622
344020,San Cristobal,10893,Confirmed Eruption,,1,?,,2007,,11,<,8,,Historical Observations,,,,,,,,12.702,-87.004
344040,Telica,10942,Confirmed Eruption,,1,?,,2007,,10,,28,3,Historical Observations,,2008,,2,,18,,12.606,-86.84
262000,Krakatau,15626,Confirmed Eruption,Anak Krakatau,2,,,2007,,10,,23,,Historical Observations,,2008,,8,?,30,,-6.102,105.423
263280,Kelut,15958,Confirmed Eruption,,2,,,2007,,10,?,16,15,Historical Observations,,2008,,4,<,16,15,-7.93,112.308
351080,Galeras,11379,Confirmed Eruption,,3,?,,2007,,10,,4,,Historical Observations,,2008,,1,,17,,1.22,-77.37
221010,"Tair, Jebel at",13923,Confirmed Eruption,,3,?,,2007,,9,,30,,Historical Observations,,2008,,6,?,16,15,15.55,41.83
241100,Ruapehu,14669,Confirmed Eruption,,1,,,2007,,9,,25,,Historical Observations,,2007,,9,,25,,-39.28,175.57
261170,Kerinci,15531,Confirmed Eruption,,1,,,2007,,9,,9,,Historical Observations,,2007,,9,,9,,-1.697,101.264
252080,Witori,15029,Confirmed Eruption,Pago,1,?,,2007,,8,,28,,Historical Observations,,2007,,8,,28,,-5.576,150.516
290360,Chikurachki,18859,Confirmed Eruption,,2,,,2007,,8,,19,,Historical Observations,,2007,,11,,1,7,50.324,155.461
312030,Pavlof,20153,Confirmed Eruption,,2,,,2007,,8,,15,,Historical Observations,,2007,,9,,13,,55.417,-161.894
221115,Manda Hararo,13943,Confirmed Eruption,,2,,,2007,,8,,12,,Historical Observations,,2007,,8,?,14,,12.17,40.82
263340,Raung,16165,Confirmed Eruption,,2,,,2007,,7,,26,,Historical Observations,,2007,,8,,26,,-8.119,114.056
268040,Gamkonora,16595,Confirmed Eruption,,2,,,2007,,7,,8,,Historical Observations,,2007,,7,?,16,,1.38,127.53
311240,Cleveland,19825,Confirmed Eruption,,2,?,,2007,,6,?,17,,Historical Observations,,2008,,8,?,12,,52.825,-169.944
266030,Soputan,16438,Confirmed Eruption,,3,,,2007,,6,?,16,15,Historical Observations,,2007,,11,?,9,,1.112,124.737
222120,"Lengai, Ol Doinyo",13828,Confirmed Eruption,,3,,,2007,,6,,16,15,Historical Observations,,2010,,10,?,9,1,-2.764,35.914
357110,Llaima,12076,Confirmed Eruption,,2,,,2007,,5,,26,,Historical Observations,,2007,,8,?,8,,-38.692,-71.729
251070,Ritter Island,14977,Confirmed Eruption,,1,?,,2007,,5,,19,,Historical Observations,,2007,,5,?,21,,-5.519,148.115
300250,Bezymianny,19385,Confirmed Eruption,,3,?,,2007,,5,?,10,,Historical Observations,,2007,,12,?,24,,55.972,160.595
252120,Ulawun,15075,Confirmed Eruption,,2,,,2007,,5,,1,,Historical Observations,,2007,,5,,1,,-5.05,151.33
257050,Lopevi,15322,Confirmed Eruption,,2,,,2007,,4,,21,,Historical Observations,,2007,,5,?,14,,-16.507,168.346
255060,Kavachi,15180,Confirmed Eruption,,1,,,2007,,4,?,2,,Historical Observations,,2007,,4,>,6,,-8.991,157.979
283040,Ontakesan,20962,Confirmed Eruption,1979 Crater #7,0,,,2007,,3,,24,7,Historical Observations,,,,,,,,35.893,137.48
211060,Etna,13849,Confirmed Eruption,"Bocca Nuova, SE Crater and flank vents",2,,,2007,,3,,19,,Historical Observations,,2008,,5,?,16,15,37.748,14.999
261160,Talang,15498,Confirmed Eruption,Main crater,2,,,2007,,3,,19,,Historical Observations,,2007,,6,,22,3,-0.979,100.681
352010,Reventador,11448,Confirmed Eruption,,2,,,2007,,3,,15,7,Historical Observations,,2007,,10,?,11,,-0.077,-77.656
290360,Chikurachki,18858,Confirmed Eruption,,2,,,2007,,3,,4,,Historical Observations,,2007,,4,,18,,50.324,155.461
351050,"Huila, Nevado del",11312,Confirmed Eruption,,3,?,,2007,,2,,19,,Historical Observations,,2007,,5,?,28,,2.93,-76.03
300260,Klyuchevskoy,19483,Confirmed Eruption,,2,,,2007,,2,,15,,Historical Observations,,2007,,7,,15,,56.056,160.642
344120,Concepcion,11075,Confirmed Eruption,,1,,,2007,,2,,9,,Historical Observations,,2007,,7,,10,,11.538,-85.622
264260,"Tara, Batu",16353,Confirmed Eruption,,2,,,2007,,1,?,17,,Historical Observations,,2015,,11,,26,,-7.791,123.585
233010,Karthala,14208,Confirmed Eruption,Chahalé crater,2,,,2007,,1,,12,,Historical Observations,,2007,,1,?,15,,-11.75,43.38
266030,Soputan,16434,Confirmed Eruption,,1,,,2006,,12,,14,,Historical Observations,,2006,,12,?,26,,1.112,124.737
242050,Monowai,14722,Confirmed Eruption,,0,,,2006,,12,,12,,Hydrophonic,,2007,,11,,4,3,-25.887,-177.188
344040,Telica,10940,Confirmed Eruption,,1,,,2006,,12,?,11,,Historical Observations,,2007,,2,,17,,12.606,-86.84
284170,Pagan,18522,Confirmed Eruption,North Pagan,1,,,2006,,12,,4,,Historical Observations,,2006,,12,,8,,18.13,145.8
223020,Nyamuragira,14084,Confirmed Eruption,South flank,2,,,2006,,11,,27,,Historical Observations,,2006,,12,?,5,,-1.408,29.2
311161,Korovin,19768,Confirmed Eruption,,1,,,2006,,11,,25,5,Historical Observations,,2007,,3,<,3,,52.381,-174.166
257040,Ambrym,15296,Confirmed Eruption,Marum (Mbwelesu),2,,,2006,,11,,8,,Historical Observations,,2007,,12,>,27,,-16.25,168.12
251070,Ritter Island,14976,Confirmed Eruption,,1,?,,2006,,10,,17,,Historical Observations,,2006,,10,?,17,,-5.519,148.115
273010,Bulusan,16771,Confirmed Eruption,,2,,,2006,,10,,10,,Historical Observations,,2007,,10,,4,,12.77,124.05
241100,Ruapehu,14668,Confirmed Eruption,,1,,,2006,,10,,4,,Historical Observations,,2006,,10,,4,,-39.28,175.57
261230,Dempo,15574,Confirmed Eruption,,1,,,2006,,9,,25,,Historical Observations,,2006,,9,,25,,-4.03,103.13
345040,Poas,11190,Confirmed Eruption,,1,,,2006,,9,,25,,Historical Observations,,2006,,12,,16,,10.2,-84.233
312260,Fourpeaked,20250,Confirmed Eruption,Fissure trending N from summit,2,,,2006,,9,,17,,Historical Observations,,2006,,9,,17,,58.77,-153.672
261160,Talang,15497,Confirmed Eruption,,1,,,2006,,9,,10,,Historical Observations,,2006,,9,,10,,-0.979,100.681
344120,Concepcion,11074,Confirmed Eruption,,2,,,2006,,9,,1,,Historical Observations,,2006,,9,,21,,11.538,-85.622
284040,Miyakejima,18278,Confirmed Eruption,,1,,,2006,,8,,23,,Historical Observations,,2006,,8,,23,,34.094,139.526
252140,Rabaul,15100,Confirmed Eruption,Tavurvur,4,?,,2006,,8,,11,,Historical Observations,,2010,,1,,31,,-4.271,152.203
252010,Langila,15002,Confirmed Eruption,,2,,,2006,,8,,9,,Historical Observations,,2008,,7,?,6,,-5.525,148.42
243080,Home Reef,14771,Confirmed Eruption,,2,?,,2006,,8,,7,,Historical Observations,,2006,,8,?,16,,-18.992,-174.775
344100,Masaya,11041,Confirmed Eruption,Santiago,1,,,2006,,8,,4,,Historical Observations,,2006,,10,?,25,,11.984,-86.161
344040,Telica,10939,Confirmed Eruption,,1,,,2006,,8,,4,,Historical Observations,,2006,,8,,6,,12.606,-86.84
233020,"Fournaise, Piton de la",14389,Confirmed Eruption,"Dolomieu, S, E, and SE flanks",1,?,,2006,,7,,20,,Historical Observations,,2007,,5,,1,,-21.244,55.708
211060,Etna,13848,Confirmed Eruption,SE Crater & flank vents; NE Crater,2,,,2006,,7,,14,,Historical Observations,,2006,,12,,15,,37.748,14.999
273030,Mayon,16817,Confirmed Eruption,,1,,,2006,,7,,13,,Historical Observations,,2006,,10,,1,,13.257,123.685
267020,Karangetang,16541,Confirmed Eruption,,1,,,2006,,7,,3,,Historical Observations,,2007,,10,>,16,15,2.781,125.407
390090,Saunders,13221,Confirmed Eruption,Old Crater,0,,,2006,,6,<,9,,Historical Observations,,2006,,12,?,6,,-57.8,-26.483
272020,Kanlaon,16638,Confirmed Eruption,,2,,,2006,,6,,3,,Historical Observations,,2006,,7,,25,,10.412,123.132
233010,Karthala,14207,Confirmed Eruption,Chahalé crater,0,,,2006,,5,,28,,Historical Observations,,2006,,6,?,3,,-11.75,43.38
355100,Lascar,11878,Confirmed Eruption,,3,,,2006,,4,,18,,Historical Observations,,2007,,7,?,18,,-23.37,-67.73
300250,Bezymianny,19384,Confirmed Eruption,,3,,,2006,,4,<,16,15,Historical Observations,,2006,,12,?,29,,55.972,160.595
354020,Ubinas,11791,Confirmed Eruption,,2,,,2006,,3,?,25,,Historical Observations,,2009,,7,?,4,,-16.355,-70.903
345040,Poas,11189,Confirmed Eruption,,1,,,2006,,3,,24,,Historical Observations,,2006,,3,?,24,,10.2,-84.233
285070,Akan,18704,Confirmed Eruption,NE flank of Me-Akan,1,,,2006,,3,,21,,Historical Observations,,2006,,3,,21,,43.384,144.013
273010,Bulusan,16770,Confirmed Eruption,,2,,,2006,,3,,21,,Historical Observations,,2006,,6,,28,,12.77,124.05
284200,Anatahan,18537,Confirmed Eruption,East Crater,2,,,2006,,3,?,20,,Historical Observations,,2006,,6,?,26,,16.35,145.67
242030,Raoul Island,14702,Confirmed Eruption,Green Lake crater,1,?,,2006,,3,,17,,Historical Observations,,2006,,3,,17,,-29.27,-177.92
263250,Merapi,15923,Confirmed Eruption,,1,,,2006,,3,,16,15,Historical Observations,,2007,,8,?,9,,-7.542,110.442
234010,Heard,14412,Confirmed Eruption,Mawson Peak,0,,,2006,,3,,11,,Historical Observations,,2008,,3,,3,,-53.106,73.513
342110,Pacaya,22213,Confirmed Eruption,MacKenney Cone,3,,,2006,,3,,9,,Historical Observations,,2010,,10,,26,,14.382,-90.601
