Volcano Number,Volcano Name,Country,Emission ID,Method,Start Date,End Date,Total SO2 Mass,SO2 Altitude Range Start
345070,Turrialba,Costa Rica,295,Satellite,2014 Oct 30,2014 Oct 30,3.000,5.0
264050,Sangeang Api,Indonesia,126,Satellite,2014 May 30,2014 May 30,100.000,17.0
342110,Pacaya,Guatemala,287,Satellite,2014 Mar 02,2014 Mar 02,2.000,5.0
233020,"Fournaise, Piton de la",France,69,Satellite,2014 Jun 21,2014 Jun 21,1.000,7.6
312030,Pavlof,United States,220,Satellite,2014 Jun 03,2014 Jun 03,10.000,12.5
263280,Kelut,Indonesia,120,Satellite,2014 Feb 13,2014 Feb 13,200.000,19.0
243040,Hunga Tonga-Hunga Ha'apai,Tonga,78,Satellite,2014 Dec 24,2014 Dec 24,14.000,3.0
252140,Rabaul,Papua New Guinea,98,Satellite,2014 Aug 29,2014 Aug 29,31.000,18.0
300260,Klyuchevskoy,Russia,205,Satellite,2013 Nov 19,2013 Nov 19,2.000,12.0
211060,Etna,Italy,29,Satellite,2013 Nov 17,2013 Dec 30,40.000,4.0
311240,Cleveland,United States,213,Satellite,2013 May 05,2013 May 05,1.000,5.0
312030,Pavlof,United States,219,Satellite,2013 Jun 25,2013 Jun 25,5.000,12.5
211060,Etna,Italy,26,Satellite,2013 Feb 28,2013 Feb 28,5.000,4.0
264150,Paluweh,Indonesia,127,Satellite,2013 Feb 02,2013 Feb 02,40.000,17.0
343100,San Miguel,El Salvador,289,Satellite,2013 Dec 29,2013 Dec 29,5.000,12.1
312070,Veniaminof,United States,223,Satellite,2013 Aug 12,2013 Aug 12,5.000,7.0
211060,Etna,Italy,27,Satellite,2013 Apr 27,2013 Apr 27,7.000,4.0
251020,Manam,Papua New Guinea,87,Satellite,2013 Apr 13,2013 Apr 13,10.000,11.8
342090,Fuego,Guatemala,281,Satellite,2012 Sep 13,2012 Sep 13,2.000,8.0
344020,San Cristobal (Nicaragua),Nicaragua,290,Satellite,2012 Sep 08,2012 Sep 08,5.000,3.5
300250,Bezymianny,Russia,199,Satellite,2012 Sep 01,2012 Sep 01,3.000,12.0
211060,Etna,Italy,23,Satellite,2012 Jan 05,2012 Jan 05,6.500,9.0
211060,Etna,Italy,24,Satellite,2012 Feb 09,2012 Feb 09,1.100,9.0
344020,San Cristobal (Nicaragua),Nicaragua,291,Satellite,2012 Dec 26,2012 Dec 26,1.000,4.5
266030,Soputan,Indonesia,147,Satellite,2012 Aug 27,2012 Aug 27,2.000,12.0
241080,Tongariro,New Zealand,75,Satellite,2012 Aug 06,2012 Aug 06,1.000,12.0
358057,"Hudson, Cerro",Chile,333,Satellite,2011 Oct 26,2011 Oct 26,1.000,11.9
211060,Etna,Italy,22,Satellite,2011 Nov 15,2011 Nov 15,4.800,11.0
211060,Etna,Italy,20,Satellite,2011 May 12,2011 May 12,6.000,6.0
357040,Planchon-Peteroa,Chile,323,Satellite,2011 May 02,2011 May 02,1.000,6.0
221101,Nabro,Eritrea,34,Satellite,2011 Jun 13,2011 Jun 13,3650.000,18.0
357150,Puyehue-Cordon Caulle,Chile,329,Satellite,2011 Jun 04,2011 Jun 04,200.000,14.0
211060,Etna,Italy,21,Satellite,2011 Jul 09,2011 Oct 23,52.700,4.0
266030,Soputan,Indonesia,145,Satellite,2011 Jul 03,2011 Jul 03,10.000,14.0
263310,Tengger Caldera,Indonesia,124,Satellite,2011 Jan 28,2011 Feb 12,24.000,4.0
282090,Kirishimayama,Japan,167,Satellite,2011 Jan 26,2011 Jan 26,30.000,4.0
211060,Etna,Italy,17,Satellite,2011 Jan 12,2011 Jan 12,7.000,7.0
273010,Bulusan,Philippines,163,Satellite,2011 Feb 21,2011 Feb 21,1.200,5.0
211060,Etna,Italy,18,Satellite,2011 Feb 18,2011 Feb 18,8.000,8.0
221020,Zubair Group,Yemen,32,Satellite,2011 Dec 18,2011 Dec 18,1.000,5.2
266030,Soputan,Indonesia,146,Satellite,2011 Aug 14,2011 Aug 14,2.000,4.0
211060,Etna,Italy,19,Satellite,2011 Apr 10,2011 Apr 10,5.000,5.0
300270,Sheveluch,Russia,207,Satellite,2010 Oct 27,2010 Oct 27,11.000,12.0
233020,"Fournaise, Piton de la",France,68,Satellite,2010 Oct 15,2010 Oct 15,1.000,7.6
263310,Tengger Caldera,Indonesia,122,Satellite,2010 Nov 29,2010 Nov 29,5.000,4.0
263250,Merapi,Indonesia,118,Satellite,2010 Nov 04,2010 Nov 04,300.000,17.0
342110,Pacaya,Guatemala,286,Satellite,2010 May 28,2010 May 28,23.000,18.0
233020,"Fournaise, Piton de la",France,67,Satellite,2010 Jan 11,2010 Jan 11,1.000,7.6
360050,Soufriere Hills,United Kingdom,348,Satellite,2010 Feb 12,2010 Feb 12,30.000,18.0
290240,Sarychev Peak,Russia,175,Satellite,2009 Jun 15,2009 Jun 15,1200.000,17.0
360050,Soufriere Hills,United Kingdom,347,Satellite,2009 Jan 03,2009 Jan 03,8.000,11.0
300250,Bezymianny,Russia,198,Satellite,2009 Dec 17,2009 Dec 17,1.000,15.0
300090,Koryaksky,Russia,184,Satellite,2009 Aug 16,2009 Aug 16,2.000,4.0
353010,Fernandina,Ecuador,311,Satellite,2009 Apr 11,2009 Apr 11,521.000,3.0
357110,Llaima,Chile,327,Satellite,2009 Apr 03,2009 Apr 03,10.000,4.0
221060,Alu-Dalafilla,Ethiopia,33,Satellite,2008 Nov 03,2008 Nov 03,150.000,16.0
353060,"Azul, Cerro",Ecuador,318,Satellite,2008 May 30,2008 May 30,157.000,3.0
266030,Soputan,Indonesia,143,Satellite,2008 Jun 06,2008 Jun 06,33.000,14.0
360050,Soufriere Hills,United Kingdom,345,Satellite,2008 Jul 29,2008 Jul 29,3.000,12.0
311290,Okmok,United States,214,Satellite,2008 Jul 12,2008 Jul 12,150.000,15.0
360050,Soufriere Hills,United Kingdom,346,Satellite,2008 Dec 03,2008 Dec 03,5.000,12.0
311130,Kasatochi,United States,210,Satellite,2008 Aug 07,2008 Aug 07,2000.000,15.0
221010,"Tair, Jebel at",Yemen,31,Satellite,2007 Sep 30,2007 Sep 30,80.000,16.0
266030,Soputan,Indonesia,142,Satellite,2007 Oct 25,2007 Oct 25,12.000,14.0
300250,Bezymianny,Russia,197,Satellite,2007 Oct 15,2007 Oct 15,5.000,10.0
252070,Krummel-Garbuna-Welcker,Papua New Guinea,90,Satellite,2007 Nov 11,2007 Nov 11,1.000,3.0
273010,Bulusan,Philippines,161,Satellite,2007 May 12,2007 May 12,1.000,6.0
342090,Fuego,Guatemala,278,Satellite,2007 Mar 15,2007 Mar 15,2.000,6.0
273010,Bulusan,Philippines,162,Satellite,2007 Jul 31,2007 Jul 31,1.000,7.0
268040,Gamkonora,Indonesia,154,Satellite,2007 Jul 09,2007 Jul 09,1.000,6.0
342090,Fuego,Guatemala,279,Satellite,2007 Jul 01,2007 Jul 01,2.000,4.0
233010,Karthala,Comoros,60,Satellite,2007 Jan 12,2007 Jan 12,0.600,7.4
360050,Soufriere Hills,United Kingdom,344,Satellite,2007 Jan 08,2007 Jan 08,1.000,9.0
342090,Fuego,Guatemala,280,Satellite,2007 Dec 15,2007 Dec 15,2.000,5.0
266030,Soputan,Indonesia,141,Satellite,2007 Aug 14,2007 Aug 14,5.000,3.0
211060,Etna,Italy,13,Satellite,2007 Apr 29,2007 May 07,6.000,6.0
273010,Bulusan,Philippines,160,Satellite,2007 Apr 08,2007 Apr 08,0.500,4.0
312260,Fourpeaked,United States,224,Satellite,2006 Sep 17,2006 Sep 17,1.000,6.0
252140,Rabaul,Papua New Guinea,97,Satellite,2006 Oct 07,2006 Oct 07,300.000,18.0
223020,Nyamuragira,DR Congo,51,Satellite,2006 Nov 27,2006 Nov 27,675.000,15.0
211060,Etna,Italy,11,Satellite,2006 Nov 16,2006 Nov 21,9.300,4.0
311240,Cleveland,United States,212,Satellite,2006 May 23,2006 May 23,0.130,8.0
360050,Soufriere Hills,United Kingdom,343,Satellite,2006 May 20,2006 May 20,200.000,20.0
300250,Bezymianny,Russia,196,Satellite,2006 May 09,2006 May 09,5.000,15.0
273010,Bulusan,Philippines,159,Satellite,2006 Mar 21,2006 Mar 21,1.000,7.0
352080,Tungurahua,Ecuador,305,Satellite,2006 Jul 15,2006 Jul 15,10.000,12.0
313010,Augustine,United States,226,Satellite,2006 Jan 29,2006 Jan 29,10.000,10.0
251020,Manam,Papua New Guinea,86,Satellite,2006 Feb 27,2006 Feb 27,50.000,19.0
256010,Tinakula,Solomon Islands,99,Satellite,2006 Feb 12,2006 Feb 12,2.000,3.0
266030,Soputan,Indonesia,140,Satellite,2006 Dec 14,2006 Dec 14,10.000,12.0
233020,"Fournaise, Piton de la",France,65,Satellite,2006 Aug 31,2006 Aug 31,1.000,7.6
352080,Tungurahua,Ecuador,306,Satellite,2006 Aug 16,2006 Aug 16,30.000,16.0
355100,Lascar,Chile,322,Satellite,2006 Apr 18,2006 Apr 18,2.000,8.0
260010,Barren Island,India,109,Satellite,2006 Apr 05,2006 Apr 05,0.200,5.0
353050,"Negra, Sierra",Ecuador,315,Satellite,2005 Oct 23,2005 Oct 23,1928.000,15.0
343020,Santa Ana,El Salvador,288,Satellite,2005 Oct 01,2005 Oct 01,12.000,14.0
355100,Lascar,Chile,321,Satellite,2005 May 04,2005 May 04,3.000,10.0
290360,Chikurachki,Russia,177,Satellite,2005 Mar 12,2005 Mar 12,5.000,5.0
360050,Soufriere Hills,United Kingdom,342,Satellite,2005 Jun 28,2005 Jul 18,8.000,7.0
251020,Manam,Papua New Guinea,85,Satellite,2005 Jan 28,2005 Jan 28,140.000,24.0
266030,Soputan,Indonesia,139,Satellite,2005 Dec 27,2005 Dec 27,5.000,6.0
342090,Fuego,Guatemala,277,Satellite,2005 Dec 27,2005 Dec 27,1.000,8.0
266030,Soputan,Indonesia,138,Satellite,2005 Apr 20,2005 Apr 20,1.500,3.0
261160,Talang,Indonesia,111,Satellite,2005 Apr 12,2005 Apr 12,1.000,8.0
284200,Anatahan,United States,174,Satellite,2005 Apr 05,2005 Sep 03,2324.200,3.0
266030,Soputan,Indonesia,136,Satellite,2004 Oct 18,2004 Oct 18,10.000,11.8
233020,"Fournaise, Piton de la",France,62,Satellite,2004 Oct 02,2004 Oct 02,0.500,7.6
300270,Sheveluch,Russia,206,Satellite,2004 May 10,2004 May 10,1.000,11.0
223020,Nyamuragira,DR Congo,50,Satellite,2004 May 08,2004 May 08,2587.000,4.0
360050,Soufriere Hills,United Kingdom,341,Satellite,2004 Mar 03,2004 Mar 03,5.000,7.0
300250,Bezymianny,Russia,195,Satellite,2004 Jun 19,2004 Jun 19,1.000,10.0
300250,Bezymianny,Russia,194,Satellite,2004 Jan 14,2004 Jan 14,1.000,6.0
251020,Manam,Papua New Guinea,84,Satellite,2004 Dec 20,2004 Dec 20,38.000,17.0
351080,Galeras,Colombia,299,Satellite,2004 Aug 12,2004 Aug 12,3.000,11.0
352080,Tungurahua,Ecuador,304,Satellite,2003 Mar 08,2003 Mar 08,12.000,15.0
268060,Gamalama,Indonesia,155,Satellite,2003 Jul 31,2003 Jul 31,5.000,11.7
300250,Bezymianny,Russia,193,Satellite,2003 Jul 26,2003 Jul 26,2.000,11.0
360050,Soufriere Hills,United Kingdom,340,Satellite,2003 Jul 13,2003 Jul 13,100.000,16.0
267010,Ruang,Indonesia,153,Satellite,2002 Sep 26,2002 Sep 26,80.000,22.0
233020,"Fournaise, Piton de la",France,61,Satellite,2002 Nov 17,2002 Nov 17,4.000,7.6
263100,Papandayan,Indonesia,112,Satellite,2002 Nov 13,2002 Nov 13,7.000,12.7
352010,Reventador,Ecuador,300,Satellite,2002 Nov 03,2002 Nov 03,84.000,17.0
252120,Ulawun,Papua New Guinea,95,Satellite,2002 Aug 27,2002 Aug 27,10.000,12.3
311240,Cleveland,United States,211,Satellite,2001 Feb 19,2001 Feb 19,6.000,10.0
252120,Ulawun,Papua New Guinea,94,Satellite,2001 Apr 30,2001 Apr 30,30.000,14.0
341090,Popocatepetl,Mexico,275,Satellite,2001 Apr 29,2001 Apr 29,4.000,9.0
252120,Ulawun,Papua New Guinea,93,Satellite,2000 Sep 28,2000 Sep 28,37.000,16.0
360050,Soufriere Hills,United Kingdom,338,Satellite,2000 Mar 20,2000 Mar 20,3.400,9.0
341090,Popocatepetl,Mexico,273,Satellite,2000 Dec 15,2000 Dec 19,49.000,15.5
352080,Tungurahua,Ecuador,302,Satellite,1999 Nov 16,1999 Nov 16,6.000,15.0
353060,"Azul, Cerro",Ecuador,317,Satellite,1998 Sep 15,1998 Sep 15,714.000,15.0
251020,Manam,Papua New Guinea,81,Satellite,1998 Oct 05,1998 Oct 05,17.000,16.0
341090,Popocatepetl,Mexico,272,Satellite,1998 Nov 25,1998 Nov 25,10.000,15.5
360050,Soufriere Hills,United Kingdom,336,Satellite,1998 Nov 12,1998 Nov 12,9.000,8.0
360050,Soufriere Hills,United Kingdom,335,Satellite,1998 Jul 03,1998 Jul 03,2.000,12.0
341090,Popocatepetl,Mexico,271,Satellite,1997 Jul 03,1997 Jul 03,7.000,13.0
251020,Manam,Papua New Guinea,80,Satellite,1997 Feb 08,1997 Feb 08,3.000,16.0
373010,Grimsvotn,Iceland,356,Satellite,1996 Oct 02,1996 Oct 02,10.000,10.0
241100,Ruapehu,New Zealand,77,Satellite,1996 Jul 20,1996 Jul 20,10.000,11.0
252140,Rabaul,Papua New Guinea,96,Satellite,1994 Sep 19,1994 Sep 19,200.000,20.0
300260,Klyuchevskoy,Russia,202,Satellite,1994 Oct 01,1994 Oct 01,150.000,15.0
264030,Rinjani,Indonesia,125,Satellite,1994 Jun 03,1994 Jun 03,10.000,10.0
223020,Nyamuragira,DR Congo,44,Satellite,1994 Jul 05,1994 Jul 05,1514.000,4.0
355100,Lascar,Chile,320,Satellite,1993 Apr 19,1993 Apr 19,450.000,16.0
313040,Spurr,United States,232,Satellite,1992 Sep 17,1992 Sep 17,250.000,15.0
313040,Spurr,United States,230,Satellite,1992 Jun 27,1992 Jun 27,250.000,18.0
353080,Marchena,Ecuador,319,Satellite,1991 Sep 26,1991 Sep 26,200.000,2.0
223020,Nyamuragira,DR Congo,43,Satellite,1991 Sep 22,1991 Sep 22,858.000,4.0
273083,Pinatubo,Philippines,165,Satellite,1991 Jun 13,1991 Jun 15,18194.000,19.0
300260,Klyuchevskoy,Russia,201,Satellite,1990 Jan 30,1990 Jan 30,10.000,10.0
351020,"Ruiz, Nevado del",Colombia,298,Satellite,1989 Sep 01,1989 Sep 01,12.000,15.3
342110,Pacaya,Guatemala,285,Satellite,1989 Mar 09,1989 Mar 09,1.000,3.0
265090,Banda Api,Indonesia,128,Satellite,1988 May 09,1988 May 09,250.000,16.0
268070,Makian,Indonesia,157,Satellite,1988 Jul 29,1988 Jul 29,50.000,16.0
223020,Nyamuragira,DR Congo,41,Satellite,1987 Dec 31,1987 Dec 31,28.000,4.0
257040,Ambrym,Vanuatu,101,Satellite,1986 Nov 15,1986 Nov 15,10.000,11.3
313010,Augustine,United States,225,Satellite,1986 Mar 27,1986 Mar 27,20.000,15.0
332010,Kilauea,United States,265,Satellite,1986 Mar 22,1986 Mar 22,5.400,5.2
312030,Pavlof,United States,218,Satellite,1986 Apr 19,1986 Apr 19,70.000,16.0
351020,"Ruiz, Nevado del",Colombia,296,Satellite,1985 Sep 12,1985 Sep 12,90.000,15.0
351020,"Ruiz, Nevado del",Colombia,297,Satellite,1985 Nov 14,1985 Nov 14,660.000,25.0
266030,Soputan,Indonesia,134,Satellite,1985 May 20,1985 May 20,12.000,11.8
272020,Kanlaon,Philippines,158,Satellite,1985 Mar 14,1985 Mar 14,10.000,12.4
300250,Bezymianny,Russia,192,Satellite,1985 Jul 01,1985 Jul 01,10.000,12.9
266030,Soputan,Indonesia,132,Satellite,1984 May 24,1984 May 24,166.000,16.0
332010,Kilauea,United States,235,Satellite,1983 Mar 29,1983 Mar 29,1.000,5.2
266010,Colo,Indonesia,129,Satellite,1983 Jul 24,1983 Jul 24,200.000,15.0
332010,Kilauea,United States,236,Satellite,1983 Jul 03,1983 Jul 03,5.500,5.2
224010,Cameroon,Cameroon,55,Satellite,1982 Oct 18,1982 Oct 18,3.000,9.1
266030,Soputan,Indonesia,131,Satellite,1982 Nov 10,1982 Nov 10,13.000,11.8
341120,"Chichón, El",Mexico,276,Satellite,1982 Mar 29,1982 Apr 04,8090.000,17.0
263140,Galunggung,Indonesia,114,Satellite,1982 Jun 24,1982 Jun 24,430.000,14.0
353020,Wolf,Ecuador,312,Satellite,1982 Aug 29,1982 Aug 29,1080.000,4.0
266030,Soputan,Indonesia,130,Satellite,1982 Aug 27,1982 Aug 27,90.000,15.0
263140,Galunggung,Indonesia,116,Satellite,1982 Aug 15,1982 Sep 18,130.000,4.0
284170,Pagan,United States,172,Satellite,1981 May 15,1981 May 15,320.000,20.0
252120,Ulawun,Papua New Guinea,91,Satellite,1980 Oct 07,1980 Oct 07,200.000,20.0
321050,St. Helens,United States,233,Satellite,1980 May 18,1980 May 25,875.000,14.0
311310,Makushin,United States,215,Satellite,1980 May 01,1980 May 01,10.000,12.0
321050,St. Helens,United States,234,Satellite,1980 Jun 13,1980 Jun 13,35.000,16.0
372070,Hekla,Iceland,351,Satellite,1980 Aug 18,1980 Aug 18,460.000,15.0
353050,"Negra, Sierra",Ecuador,314,Satellite,1979 Nov 13,1979 Nov 13,2524.000,14.0
353060,"Azul, Cerro",Ecuador,316,Satellite,1979 Feb 01,1979 Feb 01,358.000,2.0
360150,Soufrière St. Vincent,Saint Vincent and the Grenadines,349,Satellite,1979 Apr 13,1979 Apr 13,3.000,18.0
